,xgb_fea_importance,lgbm_fea_importance,feature_name
HC01_VC03,0.07925706,7,Estimate; HOUSEHOLDS BY TYPE - Total households
HC02_VC03,0.03768817,38,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Total households
HC03_VC03,0.0074726543,0,Percent; HOUSEHOLDS BY TYPE - Total households
HC01_VC04,0.00662431,2,Estimate; HOUSEHOLDS BY TYPE - Family households (families)
HC02_VC04,0.011930977,29,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
HC03_VC04,0.01819429,72,Percent; HOUSEHOLDS BY TYPE - Family households (families)
HC04_VC04,0.0055413162,4,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
HC01_VC06,0.0048734704,10,Estimate; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC02_VC06,0.007544854,27,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC03_VC06,0.008934695,14,Percent; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC04_VC06,0.0026713838,4,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC01_VC07,0.0037182772,8,Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC02_VC07,0.0049637198,13,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC03_VC07,0.0071297064,28,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC04_VC07,0.0022020866,9,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC01_VC08,0.0019132884,16,Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC02_VC08,0.0036821775,20,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC03_VC08,0.0063716113,36,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC04_VC08,0.0016786398,3,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC01_VC09,0.0026894335,22,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC02_VC09,0.00490957,75,"Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC03_VC09,0.00662431,50,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC04_VC09,0.0015342407,5,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC01_VC10,0.0033392296,12,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC02_VC10,0.003934876,13,"Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC03_VC10,0.005902314,47,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC04_VC10,0.0013176419,31,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC01_VC11,0.0015522905,8,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC02_VC11,0.0026533338,14,"Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC03_VC11,0.006082813,33,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC04_VC11,0.0013717916,1,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC01_VC12,0.001967438,11,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC02_VC12,0.0026172341,13,"Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC03_VC12,0.001804989,12,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC04_VC12,0.00037904768,3,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC01_VC13,0.0023645356,30,Estimate; HOUSEHOLDS BY TYPE - Nonfamily households
HC02_VC13,0.0022381863,46,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
HC03_VC13,0.0037002275,41,Percent; HOUSEHOLDS BY TYPE - Nonfamily households
HC04_VC13,0.00064979604,5,Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
HC01_VC14,0.0011010433,11,Estimate; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC02_VC14,0.0017688893,10,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC03_VC14,0.0037363272,34,Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC04_VC14,0.0006858958,3,Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC01_VC17,0.0005775965,3,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC02_VC17,0.006209162,27,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC03_VC17,0.0043680733,65,Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC04_VC17,0.0005775965,21,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC01_VC18,0.0015342407,31,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC02_VC18,0.00328508,58,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC03_VC18,0.005559366,63,Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC04_VC18,0.0005053969,13,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC01_VC21,0.002960182,37,Estimate; HOUSEHOLDS BY TYPE - Average family size
HC02_VC21,0.00041514746,2,Estimate Margin of Error; HOUSEHOLDS BY TYPE - Average family size
HC01_VC26,0.00019854879,0,Estimate; RELATIONSHIP - Householder
HC02_VC26,0.0040792753,59,Estimate Margin of Error; RELATIONSHIP - Householder
HC03_VC26,0.0008844446,2,Percent; RELATIONSHIP - Householder
HC04_VC26,0.00016244901,0,Percent Margin of Error; RELATIONSHIP - Householder
HC01_VC27,0.00041514746,18,Estimate; RELATIONSHIP - Spouse
HC02_VC27,0.0022020866,36,Estimate Margin of Error; RELATIONSHIP - Spouse
HC03_VC27,0.0016605898,23,Percent; RELATIONSHIP - Spouse
HC04_VC27,0.00043319736,1,Percent Margin of Error; RELATIONSHIP - Spouse
HC01_VC28,0.00025269846,8,Estimate; RELATIONSHIP - Child
HC02_VC28,0.0023464856,29,Estimate Margin of Error; RELATIONSHIP - Child
HC03_VC28,0.0026713838,23,Percent; RELATIONSHIP - Child
HC04_VC28,0.00030684812,0,Percent Margin of Error; RELATIONSHIP - Child
HC01_VC29,0.00066784595,6,Estimate; RELATIONSHIP - Other relatives
HC02_VC29,0.003916826,103,Estimate Margin of Error; RELATIONSHIP - Other relatives
HC03_VC29,0.0033392296,15,Percent; RELATIONSHIP - Other relatives
HC04_VC29,0.0005414967,6,Percent Margin of Error; RELATIONSHIP - Other relatives
HC01_VC30,0.0012273925,12,Estimate; RELATIONSHIP - Nonrelatives
HC02_VC30,0.0027074835,60,Estimate Margin of Error; RELATIONSHIP - Nonrelatives
HC03_VC30,0.0040792753,111,Percent; RELATIONSHIP - Nonrelatives
HC04_VC30,0.0008663947,7,Percent Margin of Error; RELATIONSHIP - Nonrelatives
HC01_VC31,0.0009024945,14,Estimate; RELATIONSHIP - Nonrelatives - Unmarried partner
HC02_VC31,0.0023645356,18,Estimate Margin of Error; RELATIONSHIP - Nonrelatives - Unmarried partner
HC03_VC31,0.0027435832,18,Percent; RELATIONSHIP - Nonrelatives - Unmarried partner
HC04_VC31,0.000992744,34,Percent Margin of Error; RELATIONSHIP - Nonrelatives - Unmarried partner
HC01_VC36,0.00025269846,0,Estimate; MARITAL STATUS - Never married
HC02_VC36,0.0038446265,22,Estimate Margin of Error; MARITAL STATUS - Never married
HC03_VC36,0.0011371431,2,Percent; MARITAL STATUS - Never married
HC04_VC36,0.00019854879,5,Percent Margin of Error; MARITAL STATUS - Never married
HC01_VC37,0.00045124724,1,"Estimate; MARITAL STATUS - Now married, except separated"
HC02_VC37,0.0014981409,16,"Estimate Margin of Error; MARITAL STATUS - Now married, except separated"
HC03_VC37,0.0025089346,18,"Percent; MARITAL STATUS - Now married, except separated"
HC04_VC37,0.0007219956,28,"Percent Margin of Error; MARITAL STATUS - Now married, except separated"
HC01_VC38,0.00063174614,6,Estimate; MARITAL STATUS - Separated
HC02_VC38,0.002129887,19,Estimate Margin of Error; MARITAL STATUS - Separated
HC03_VC38,0.0018591386,28,Percent; MARITAL STATUS - Separated
HC04_VC38,0.0010829933,3,Percent Margin of Error; MARITAL STATUS - Separated
HC01_VC39,0.0025630845,25,Estimate; MARITAL STATUS - Widowed
HC02_VC39,0.0035197285,39,Estimate Margin of Error; MARITAL STATUS - Widowed
HC03_VC39,0.0033392296,41,Percent; MARITAL STATUS - Widowed
HC04_VC39,0.000992744,4,Percent Margin of Error; MARITAL STATUS - Widowed
HC01_VC40,0.0010107938,7,Estimate; MARITAL STATUS - Divorced
HC02_VC40,0.0016966896,15,Estimate Margin of Error; MARITAL STATUS - Divorced
HC03_VC40,0.0026894335,16,Percent; MARITAL STATUS - Divorced
HC04_VC40,0.0003609978,3,Percent Margin of Error; MARITAL STATUS - Divorced
HC01_VC43,0.00027074834,1,Estimate; MARITAL STATUS - Never married
HC02_VC43,0.0040070754,25,Estimate Margin of Error; MARITAL STATUS - Never married
HC03_VC43,0.0011371431,8,Percent; MARITAL STATUS - Never married
HC04_VC43,0.00021659868,0,Percent Margin of Error; MARITAL STATUS - Never married
HC01_VC44,0.0003609978,14,"Estimate; MARITAL STATUS - Now married, except separated"
HC02_VC44,0.0012995921,3,"Estimate Margin of Error; MARITAL STATUS - Now married, except separated"
HC03_VC44,0.002292336,32,"Percent; MARITAL STATUS - Now married, except separated"
HC04_VC44,0.0005956464,6,"Percent Margin of Error; MARITAL STATUS - Now married, except separated"
HC01_VC45,0.00030684812,0,Estimate; MARITAL STATUS - Separated
HC02_VC45,0.0013898415,4,Estimate Margin of Error; MARITAL STATUS - Separated
HC03_VC45,0.0018591386,17,Percent; MARITAL STATUS - Separated
HC04_VC45,0.00041514746,2,Percent Margin of Error; MARITAL STATUS - Separated
HC01_VC46,0.0015342407,15,Estimate; MARITAL STATUS - Widowed
HC02_VC46,0.0028157828,54,Estimate Margin of Error; MARITAL STATUS - Widowed
HC03_VC46,0.0027255334,24,Percent; MARITAL STATUS - Widowed
HC04_VC46,0.0010468937,36,Percent Margin of Error; MARITAL STATUS - Widowed
HC01_VC47,0.0013537417,32,Estimate; MARITAL STATUS - Divorced
HC02_VC47,0.002292336,28,Estimate Margin of Error; MARITAL STATUS - Divorced
HC03_VC47,0.0033753293,38,Percent; MARITAL STATUS - Divorced
HC04_VC47,0.0005595466,5,Percent Margin of Error; MARITAL STATUS - Divorced
HC01_VC52,0.0012995921,11,"Estimate; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC02_VC52,0.0037543771,37,"Estimate Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC03_VC52,0.0013176419,27,"Percent; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC04_VC52,0.00037904768,1,"Percent Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC01_VC53,0.003140681,86,"Estimate; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
HC02_VC53,0.0025450345,60,"Estimate Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
HC01_VC54,0.0045305225,88,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old"
HC02_VC54,0.0011912928,40,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old"
HC01_VC55,0.0040070754,21,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC02_VC55,0.0012454424,6,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC01_VC56,0.0040070754,20,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC02_VC56,0.0034836289,72,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC01_VC57,0.0036280279,68,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC02_VC57,0.0015703405,23,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC01_VC62,0.0010649435,9,Estimate; GRANDPARENTS - Responsible for grandchildren
HC02_VC62,0.0028518827,86,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren
HC03_VC62,0.0010649435,18,Percent; GRANDPARENTS - Responsible for grandchildren
HC04_VC62,0.00030684812,1,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren
HC01_VC65,0.0020937873,29,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC02_VC65,0.0041334247,70,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC03_VC65,0.006913108,104,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC04_VC65,0.0029782318,27,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC01_VC66,0.0036821775,61,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC02_VC66,0.004223674,87,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC03_VC66,0.008393199,160,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC04_VC66,0.0045124725,74,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC01_VC67,0.003772427,67,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC02_VC67,0.0036280279,77,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC03_VC67,0.0040431754,32,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC04_VC67,0.0031767807,20,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC01_VC70,0.0033392296,40,Estimate; GRANDPARENTS - Who are female
HC02_VC70,0.003122631,9,Estimate Margin of Error; GRANDPARENTS - Who are female
HC03_VC70,0.0027074835,82,Percent; GRANDPARENTS - Who are female
HC04_VC70,0.00046929714,0,Percent Margin of Error; GRANDPARENTS - Who are female
HC01_VC71,0.003772427,96,Estimate; GRANDPARENTS - Who are married
HC02_VC71,0.003429479,61,Estimate Margin of Error; GRANDPARENTS - Who are married
HC03_VC71,0.004277824,48,Percent; GRANDPARENTS - Who are married
HC04_VC71,0.0028518827,55,Percent Margin of Error; GRANDPARENTS - Who are married
HC01_VC76,0.00043319736,9,"Estimate; SCHOOL ENROLLMENT - Nursery school, preschool"
HC02_VC76,0.0013176419,7,"Estimate Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
HC03_VC76,0.0007400455,5,"Percent; SCHOOL ENROLLMENT - Nursery school, preschool"
HC04_VC76,0.00019854879,0,"Percent Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
HC01_VC77,0.00079419516,9,Estimate; SCHOOL ENROLLMENT - Kindergarten
HC02_VC77,0.0025811342,39,Estimate Margin of Error; SCHOOL ENROLLMENT - Kindergarten
HC03_VC77,0.0037904768,96,Percent; SCHOOL ENROLLMENT - Kindergarten
HC04_VC77,0.0011190932,58,Percent Margin of Error; SCHOOL ENROLLMENT - Kindergarten
HC01_VC78,0.00045124724,2,Estimate; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC02_VC78,0.0017508393,9,Estimate Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC03_VC78,0.0030504314,26,Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC04_VC78,0.0008844446,10,Percent Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC01_VC79,0.0005234468,24,Estimate; SCHOOL ENROLLMENT - High school (grades 9-12)
HC02_VC79,0.002454785,28,Estimate Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
HC03_VC79,0.0048554204,53,Percent; SCHOOL ENROLLMENT - High school (grades 9-12)
HC04_VC79,0.0009566442,9,Percent Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
HC01_VC80,0.0003609978,4,Estimate; SCHOOL ENROLLMENT - College or graduate school
HC02_VC80,0.0012454424,16,Estimate Margin of Error; SCHOOL ENROLLMENT - College or graduate school
HC03_VC80,0.0033211797,76,Percent; SCHOOL ENROLLMENT - College or graduate school
HC04_VC80,0.0008663947,9,Percent Margin of Error; SCHOOL ENROLLMENT - College or graduate school
HC01_VC85,0.0005053969,3,Estimate; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC02_VC85,0.003609978,41,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC03_VC85,0.00066784595,3,Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC04_VC85,0.00012634923,0,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC01_VC86,0.0035016786,89,"Estimate; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC02_VC86,0.0029782318,31,"Estimate Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC03_VC86,0.0033572796,68,"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC04_VC86,0.00046929714,9,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC01_VC87,0.0009024945,8,Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC02_VC87,0.00164254,13,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC03_VC87,0.0025450345,18,Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC04_VC87,0.00061369623,4,Percent Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC01_VC88,0.0007400455,14,"Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC02_VC88,0.0010468937,32,"Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC03_VC88,0.0033753293,17,"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC04_VC88,0.00027074834,1,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC01_VC89,0.00097469403,29,Estimate; EDUCATIONAL ATTAINMENT - Associate's degree
HC02_VC89,0.002328436,32,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
HC03_VC89,0.0035919282,38,Percent; EDUCATIONAL ATTAINMENT - Associate's degree
HC04_VC89,0.0001804989,0,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
HC01_VC90,0.00081224507,4,Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC02_VC90,0.0019132884,9,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC03_VC90,0.004277824,68,Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC04_VC90,0.00081224507,19,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC01_VC91,0.00063174614,13,Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree
